topic,topic_label,orientador,P_orientador_given_topic,n_docs_topic,n_docs_orientador_assigned
3,3_software_projetos_cdigo_bugs,"NICOLLETTI, Pedro Sergio.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"PEREIRA, Thiago Emmanuel da Cunha Silva.",0.007462686567164179,42,2
3,3_software_projetos_cdigo_bugs,"PIRES, Carlos Eduardo Santos.",0.007462686567164179,42,9
3,3_software_projetos_cdigo_bugs,"PROCÓPIO, Francilene García.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"SABINO, Melina Mongiovi Cunha Lima.",0.007462686567164179,42,5
3,3_software_projetos_cdigo_bugs,"SAMPAIO, Lívia Maria Rodrigues Sampaio.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"SILVA, Emmanuel Pereira da Cunha.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"SILVA, Thiago Emmanuel Pereira da Cunha.",0.007462686567164179,42,16
4,4_dados_digital_sobre_privacidade,"MORAIS, Fábio Jorge Almeida.",0.0859375,39,19
4,4_dados_digital_sobre_privacidade,"CAMPELO, Claudio Elízio Calazans.",0.0703125,39,22
4,4_dados_digital_sobre_privacidade,"PEREIRA, Eanes Torres.",0.0703125,39,7
4,4_dados_digital_sobre_privacidade,"MONTEIRO, João Arthur Brunet.",0.0546875,39,15
4,4_dados_digital_sobre_privacidade,"ANDRADE, Nazareno Ferreira de.",0.0390625,39,4
4,4_dados_digital_sobre_privacidade,"BAPTISTA, Cláudio de Souza.",0.0390625,39,17
4,4_dados_digital_sobre_privacidade,"CAMPOS, Lívia Maria Rodrigues Sampaio.",0.0390625,39,12
4,4_dados_digital_sobre_privacidade,"GOMES, Herman Martins.",0.0390625,39,23
4,4_dados_digital_sobre_privacidade,"OLIVEIRA, Maxwell Guimarães de.",0.0390625,39,5
4,4_dados_digital_sobre_privacidade,"PIRES, Carlos Eduardo Santos.",0.0390625,39,9
4,4_dados_digital_sobre_privacidade,"ARAÚJO, Eliane Cristina de.",0.0234375,39,8
4,4_dados_digital_sobre_privacidade,"BARROS, Marcelo Alves de.",0.0234375,39,7
4,4_dados_digital_sobre_privacidade,"BRITO, Andrey Elísio Monteiro.",0.0234375,39,12
4,4_dados_digital_sobre_privacidade,"FECHINE, Joseana Macêdo.",0.0234375,39,4
4,4_dados_digital_sobre_privacidade,"GARCIA, Franceline Procópio.",0.0234375,39,2
4,4_dados_digital_sobre_privacidade,"GARCIA, Francilene Procópio.",0.0234375,39,8
4,4_dados_digital_sobre_privacidade,"MARINHO, Leandro Balby.",0.0234375,39,7
4,4_dados_digital_sobre_privacidade,"MASSONI, Tiago Lima.",0.0234375,39,30
4,4_dados_digital_sobre_privacidade,"NICOLLETTI, Pedro Sergio.",0.0234375,39,1
4,4_dados_digital_sobre_privacidade,"SABINO, Melina Mongiovi Cunha Lima.",0.0234375,39,5
4,4_dados_digital_sobre_privacidade,"SAMPAIO, Lívia Maria Rodrigues Sampaio.",0.0234375,39,1
4,4_dados_digital_sobre_privacidade,"ALMEIDA, Hyggo Oliveira de.",0.0078125,39,4
4,4_dados_digital_sobre_privacidade,"ALVES, Everton Leandro Galdino.",0.0078125,39,9
4,4_dados_digital_sobre_privacidade,"ANDRADE, Wilkerson de Lucena.",0.0078125,39,9
4,4_dados_digital_sobre_privacidade,"ARAÚJO, Elaine Cristina de.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"ARAÚJO, Joseana Macêdo Fechine Régis de.",0.0078125,39,13
4,4_dados_digital_sobre_privacidade,"BRASILEIRO, Francisco Vilar.",0.0078125,39,7
4,4_dados_digital_sobre_privacidade,"BRUNET, João Arthur Monteiro.",0.0078125,39,10
4,4_dados_digital_sobre_privacidade,"CAMPOS, Lívia Maria Rodrigues Sampaio",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"CAMPOS, Lívia Maria Sampaio.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"FARIA, Roberto Medeiros de.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"FARIAS, Adalberto Cajueiro de.",0.0078125,39,4
4,4_dados_digital_sobre_privacidade,"GHEYI, Rohit Gheyi.",0.0078125,39,2
4,4_dados_digital_sobre_privacidade,"GHEYI, Rohit.",0.0078125,39,10
4,4_dados_digital_sobre_privacidade,"GOMES, Reinaldo Cézar de Morais.",0.0078125,39,5
4,4_dados_digital_sobre_privacidade,"GORGÔNIO, Kyller Costa.",0.0078125,39,2
4,4_dados_digital_sobre_privacidade,"GUERRERO, Dalton Dario Serey.",0.0078125,39,2
4,4_dados_digital_sobre_privacidade,"LIRA, Melina Mongiovi Brito.",0.0078125,39,4
4,4_dados_digital_sobre_privacidade,"MELCHER, Elmar Uwe Kurt.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"MONGIOVI, Melina.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"MORAES, Fábio Jorge Almeida.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"MOURA, José Antão Beltrão.",0.0078125,39,16
4,4_dados_digital_sobre_privacidade,"Marinho, Leandro Balby",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"PEREIRA, Thiago Emmanuel da Cunha Silva.",0.0078125,39,2
4,4_dados_digital_sobre_privacidade,"PEREIRA, Thiago Emmanuel.",0.0078125,39,2
4,4_dados_digital_sobre_privacidade,"PROCÓPIO, Francilene García.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"RAMALHO, Franklin de Souza.",0.0078125,39,11
4,4_dados_digital_sobre_privacidade,"RÊGO, Matheus Gaudencio do.",0.0078125,39,6
4,4_dados_digital_sobre_privacidade,"SILVA, Emmanuel Pereira da Cunha.",0.0078125,39,1
4,4_dados_digital_sobre_privacidade,"SILVA, Thiago Emmanuel Pereira da Cunha.",0.0078125,39,16
5,5_sade_animais_pandemia_dados,"GOMES, Herman Martins.",0.08870967741935484,37,23
5,5_sade_animais_pandemia_dados,"ARAÚJO, Joseana Macêdo Fechine Régis de.",0.056451612903225805,37,13
5,5_sade_animais_pandemia_dados,"MASSONI, Tiago Lima.",0.056451612903225805,37,30
5,5_sade_animais_pandemia_dados,"ALMEIDA, Hyggo Oliveira de.",0.04032258064516129,37,4
5,5_sade_animais_pandemia_dados,"ANDRADE, Wilkerson de Lucena.",0.04032258064516129,37,9
5,5_sade_animais_pandemia_dados,"BARROS, Marcelo Alves de.",0.04032258064516129,37,7
5,5_sade_animais_pandemia_dados,"BRUNET, João Arthur Monteiro.",0.04032258064516129,37,10
5,5_sade_animais_pandemia_dados,"GARCIA, Francilene Procópio.",0.04032258064516129,37,8
5,5_sade_animais_pandemia_dados,"GUERRERO, Dalton Dario Serey.",0.04032258064516129,37,2
5,5_sade_animais_pandemia_dados,"MOURA, José Antão Beltrão.",0.04032258064516129,37,16
5,5_sade_animais_pandemia_dados,"ALVES, Everton Leandro Galdino.",0.024193548387096774,37,9
5,5_sade_animais_pandemia_dados,"ANDRADE, Nazareno Ferreira de.",0.024193548387096774,37,4
5,5_sade_animais_pandemia_dados,"BAPTISTA, Cláudio de Souza.",0.024193548387096774,37,17
5,5_sade_animais_pandemia_dados,"BRASILEIRO, Francisco Vilar.",0.024193548387096774,37,7
5,5_sade_animais_pandemia_dados,"BRITO, Andrey Elísio Monteiro.",0.024193548387096774,37,12
5,5_sade_animais_pandemia_dados,"CAMPOS, Lívia Maria Rodrigues Sampaio.",0.024193548387096774,37,12
5,5_sade_animais_pandemia_dados,"FARIA, Roberto Medeiros de.",0.024193548387096774,37,1
