orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic
"BARROS, Marcelo Alves de.",3,3_software_projetos_cdigo_bugs,0.04,-1.0616565821456805,8,7,0.875,42
"BARROS, Marcelo Alves de.",6,6_software_empresas_objetivo_vulnerabilidades,0.04,-0.8531118302526235,8,7,0.875,34
"BARROS, Marcelo Alves de.",7,7_dados_logs_sistemas_banco,0.04,-0.17435338714477766,8,7,0.875,17
"BARROS, Marcelo Alves de.",10,10_oratio_projeto_solid_clean,0.04,-0.052992530140510224,8,7,0.875,15
"BRASILEIRO, Francisco Vilar.",9,9_ensino_alunos_atividades_evaso,0.28,1.8929176189148031,8,7,0.875,15
"BRASILEIRO, Francisco Vilar.",2,2_alunos_computao_programao_sistema,0.12,-0.009029406719394265,8,7,0.875,44
"BRASILEIRO, Francisco Vilar.",5,5_sade_animais_pandemia_dados,0.12,0.16211884947643512,8,7,0.875,37
"BRASILEIRO, Francisco Vilar.",6,6_software_empresas_objetivo_vulnerabilidades,0.12,0.2455004584154862,8,7,0.875,34
"BRASILEIRO, Francisco Vilar.",10,10_oratio_projeto_solid_clean,0.12,1.0456197585275995,8,7,0.875,15
"BRASILEIRO, Francisco Vilar.",0,0_modelos_dados_linguagem_imagens,0.04,-1.2729656758128873,8,7,0.875,52
"BRASILEIRO, Francisco Vilar.",1,1_nuvem_recursos_dados_sistema,0.04,-1.253734313885,8,7,0.875,51
"BRASILEIRO, Francisco Vilar.",3,3_software_projetos_cdigo_bugs,0.04,-1.0616565821456805,8,7,0.875,42
"BRASILEIRO, Francisco Vilar.",4,4_dados_digital_sobre_privacidade,0.04,-0.9884531781223856,8,7,0.875,39
"BRASILEIRO, Francisco Vilar.",7,7_dados_logs_sistemas_banco,0.04,-0.17435338714477766,8,7,0.875,17
"BRASILEIRO, Francisco Vilar.",8,8_dados_meio_aplicativos_anlise,0.04,-0.11551288712184422,8,7,0.875,16
"BRITO, Andrey Elísio Monteiro.",1,1_nuvem_recursos_dados_sistema,0.3142857142857143,0.8076887222921577,12,12,1.0,51
"BRITO, Andrey Elísio Monteiro.",2,2_alunos_computao_programao_sistema,0.14285714285714285,0.16532398042538352,12,12,1.0,44
"BRITO, Andrey Elísio Monteiro.",0,0_modelos_dados_linguagem_imagens,0.08571428571428572,-0.5108256237659905,12,12,1.0,52
"BRITO, Andrey Elísio Monteiro.",4,4_dados_digital_sobre_privacidade,0.08571428571428572,-0.22631312607548876,12,12,1.0,39
"BRITO, Andrey Elísio Monteiro.",5,5_sade_animais_pandemia_dados,0.08571428571428572,-0.1743533871447778,12,12,1.0,37
"BRITO, Andrey Elísio Monteiro.",6,6_software_empresas_objetivo_vulnerabilidades,0.08571428571428572,-0.09097177820572676,12,12,1.0,34
"BRITO, Andrey Elísio Monteiro.",7,7_dados_logs_sistemas_banco,0.08571428571428572,0.5877866649021191,12,12,1.0,17
"BRITO, Andrey Elísio Monteiro.",3,3_software_projetos_cdigo_bugs,0.02857142857142857,-1.3981288187668934,12,12,1.0,42
"BRITO, Andrey Elísio Monteiro.",8,8_dados_meio_aplicativos_anlise,0.02857142857142857,-0.45198512374305727,12,12,1.0,16
"BRITO, Andrey Elísio Monteiro.",9,9_ensino_alunos_atividades_evaso,0.02857142857142857,-0.38946476676172315,12,12,1.0,15
"BRITO, Andrey Elísio Monteiro.",10,10_oratio_projeto_solid_clean,0.02857142857142857,-0.38946476676172315,12,12,1.0,15
"BRUNET, João Arthur Monteiro.",1,1_nuvem_recursos_dados_sistema,0.16129032258064516,0.14059221893215504,10,10,1.0,51
"BRUNET, João Arthur Monteiro.",3,3_software_projetos_cdigo_bugs,0.16129032258064516,0.33266995067147426,10,10,1.0,42
"BRUNET, João Arthur Monteiro.",5,5_sade_animais_pandemia_dados,0.16129032258064516,0.4578330936254803,10,10,1.0,37
